Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.79,9.84,9.76,9.76,7300,9.76
2016-04-18,9.836,9.836,9.836,9.836,100,9.836
2016-04-15,9.839,9.85,9.83,9.84,31700,9.84
2016-04-14,9.84,9.845,9.83,9.84,26700,9.84
2016-04-13,9.82,9.85,9.81,9.839,68300,9.839
2016-04-12,9.82,9.84,9.82,9.84,2700,9.84
2016-04-11,9.85,9.85,9.83,9.84,2600,9.84
2016-04-08,9.85,9.85,9.85,9.85,4000,9.85
2016-04-07,9.84,9.85,9.84,9.84,148800,9.84
2016-04-06,9.83,9.83,9.83,9.83,500,9.83
2016-04-05,9.85,9.85,9.83,9.83,59500,9.83
2016-04-04,9.85,9.90,9.81,9.85,1166500,9.85
2016-04-01,9.68,9.68,9.68,9.68,000,9.68
2016-03-31,9.68,9.68,9.68,9.68,000,9.68
2016-03-30,9.68,9.68,9.68,9.68,000,9.68
2016-03-29,9.68,9.68,9.68,9.68,000,9.68
2016-03-28,9.68,9.68,9.68,9.68,000,9.68
2016-03-24,9.68,9.68,9.68,9.68,100,9.68
2016-03-23,9.68,9.68,9.68,9.68,000,9.68
2016-03-22,9.68,9.68,9.68,9.68,000,9.68
2016-03-21,9.68,9.68,9.68,9.68,000,9.68
2016-03-18,9.68,9.68,9.68,9.68,300,9.68
2016-03-17,9.66,9.66,9.66,9.66,000,9.66
2016-03-16,9.66,9.66,9.66,9.66,000,9.66
2016-03-15,9.66,9.66,9.66,9.66,600,9.66
2016-03-14,9.70,9.70,9.70,9.70,000,9.70
2016-03-11,9.61,9.70,9.60,9.70,150300,9.70
2016-03-10,9.65,9.65,9.65,9.65,000,9.65
2016-03-09,9.65,9.65,9.65,9.65,000,9.65
2016-03-08,9.66,9.66,9.65,9.65,300,9.65
2016-03-07,9.65,9.65,9.65,9.65,100,9.65
2016-03-04,9.64,9.64,9.64,9.64,000,9.64
2016-03-03,9.64,9.64,9.64,9.64,100,9.64
2016-03-02,9.63,9.63,9.63,9.63,000,9.63
2016-03-01,9.63,9.63,9.63,9.63,200,9.63
2016-02-29,9.62,9.62,9.62,9.62,300,9.62
2016-02-26,9.62,9.62,9.62,9.62,100,9.62
2016-02-25,9.62,9.62,9.62,9.62,000,9.62
2016-02-24,9.62,9.62,9.62,9.62,000,9.62
2016-02-23,9.62,9.62,9.62,9.62,000,9.62
2016-02-22,9.62,9.62,9.62,9.62,000,9.62
2016-02-19,9.59,9.62,9.57,9.62,735000,9.62
2016-02-18,9.67,9.67,9.67,9.67,000,9.67
2016-02-17,9.67,9.67,9.67,9.67,300,9.67
2016-02-16,9.61,9.70,9.61,9.70,200,9.70
2016-02-12,9.70,9.70,9.70,9.70,000,9.70
2016-02-11,9.70,9.70,9.70,9.70,300,9.70
2016-02-10,9.68,9.68,9.68,9.68,000,9.68
2016-02-09,9.68,9.68,9.68,9.68,000,9.68
2016-02-08,9.68,9.68,9.68,9.68,100,9.68
2016-02-05,9.68,9.68,9.68,9.68,100,9.68
2016-02-04,9.60,9.66,9.60,9.66,200600,9.66
2016-02-03,9.67,9.67,9.67,9.67,100,9.67
2016-02-02,9.63,9.63,9.63,9.63,600,9.63
2016-02-01,9.63,9.63,9.63,9.63,200,9.63
2016-01-29,9.57,9.64,9.56,9.63,301700,9.63
2016-01-28,9.65,9.65,9.65,9.65,100,9.65
2016-01-27,9.70,9.80,9.55,9.68,5000,9.68
2016-01-26,9.70,9.70,9.70,9.70,000,9.70
2016-01-25,9.70,9.70,9.70,9.70,000,9.70
2016-01-22,9.70,9.70,9.70,9.70,000,9.70
2016-01-21,9.70,9.70,9.70,9.70,1300,9.70
2016-01-20,9.63,9.70,9.53,9.67,25900,9.67
2016-01-19,9.60,9.60,9.60,9.60,100,9.60
2016-01-15,9.75,9.75,9.75,9.75,000,9.75
2016-01-14,9.75,9.75,9.75,9.75,1300,9.75
2016-01-13,9.67,9.832,9.67,9.832,300,9.832
2016-01-12,9.52,9.65,9.52,9.65,1200100,9.65
2016-01-11,9.66,9.66,9.66,9.66,100,9.66
2016-01-08,9.67,9.67,9.67,9.67,200,9.67
2016-01-07,9.66,9.66,9.66,9.66,1200,9.66
2016-01-06,9.60,9.64,9.60,9.64,200,9.64
2016-01-05,9.62,9.62,9.62,9.62,100,9.62
2016-01-04,9.56,9.634,9.55,9.63,76800,9.63
2015-12-31,9.63,9.67,9.54,9.64,9200,9.64
2015-12-30,9.57,9.63,9.55,9.63,4100,9.63
2015-12-29,9.55,9.60,9.55,9.58,36800,9.58
2015-12-28,9.61,9.61,9.60,9.60,600,9.60
2015-12-24,9.50,9.50,9.50,9.50,24300,9.50
2015-12-23,9.55,9.60,9.53,9.53,11300,9.53
2015-12-22,9.60,9.61,9.52,9.61,603400,9.61
2015-12-21,9.54,9.65,9.54,9.56,13200,9.56
2015-12-18,9.60,9.60,9.60,9.60,000,9.60
