Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,4.165,4.313,4.01,4.16,20900,4.16
2016-04-18,4.17,4.28,4.05,4.10,23900,4.10
2016-04-15,4.14,4.14,4.05,4.09,4400,4.09
2016-04-14,4.51,4.51,3.69,4.22,52000,4.22
2016-04-13,4.58,4.89,4.55,4.60,15600,4.60
2016-04-12,4.871,4.92,4.71,4.894,14500,4.894
2016-04-11,4.69,4.97,4.55,4.77,20300,4.77
2016-04-08,4.40,4.639,4.40,4.639,1500,4.639
2016-04-07,4.80,4.82,4.40,4.57,17700,4.57
2016-04-06,4.79,4.95,4.50,4.838,25900,4.838
2016-04-05,4.63,4.71,4.45,4.71,19000,4.71
2016-04-04,4.37,5.144,4.37,4.76,31900,4.76
2016-04-01,5.26,5.44,4.30,4.36,100800,4.36
2016-03-31,4.00,4.085,3.76,4.03,7900,4.03
2016-03-30,4.00,4.21,3.77,3.81,14700,3.81
2016-03-29,3.85,4.00,3.85,3.99,8600,3.99
2016-03-28,3.65,3.811,3.52,3.55,4000,3.55
2016-03-24,3.65,3.65,3.33,3.50,15400,3.50
2016-03-23,3.84,3.96,3.622,3.75,8900,3.75
2016-03-22,4.05,4.08,3.87,4.08,2000,4.08
2016-03-21,4.12,4.13,4.01,4.02,4400,4.02
2016-03-18,4.04,4.12,3.76,4.09,10100,4.09
2016-03-17,3.85,4.14,3.85,4.14,7000,4.14
2016-03-16,4.23,4.26,3.935,4.06,17400,4.06
2016-03-15,4.31,4.366,4.26,4.26,1800,4.26
2016-03-14,4.51,4.51,4.41,4.41,2900,4.41
2016-03-11,4.53,4.54,4.51,4.51,1700,4.51
2016-03-10,4.55,4.56,4.55,4.55,2000,4.55
2016-03-09,4.53,4.53,4.52,4.52,1100,4.52
2016-03-08,4.66,4.67,4.52,4.52,12500,4.52
2016-03-07,4.559,4.56,4.53,4.539,2500,4.539
2016-03-04,4.394,4.55,4.394,4.55,2800,4.55
2016-03-03,4.57,4.62,4.50,4.62,9600,4.62
2016-03-02,4.562,4.569,4.54,4.54,1800,4.54
2016-03-01,4.50,4.553,4.50,4.553,4100,4.553
2016-02-29,4.56,4.60,4.56,4.56,1400,4.56
2016-02-26,4.55,4.55,4.55,4.55,1100,4.55
2016-02-25,4.56,4.60,4.56,4.60,5800,4.60
2016-02-24,4.63,4.668,4.50,4.56,4200,4.56
2016-02-23,4.64,4.69,4.64,4.648,2300,4.648
2016-02-22,4.618,4.621,4.618,4.62,4800,4.62
2016-02-19,4.61,4.65,4.60,4.65,5900,4.65
2016-02-18,4.55,4.692,4.55,4.63,2400,4.63
2016-02-17,4.58,4.63,4.55,4.59,5000,4.59
2016-02-16,4.61,4.68,4.61,4.66,4400,4.66
2016-02-12,4.58,4.688,4.56,4.59,3600,4.59
2016-02-11,4.57,4.60,4.55,4.57,9900,4.57
2016-02-10,4.55,4.58,4.55,4.57,1500,4.57
2016-02-09,4.58,4.71,4.58,4.71,3100,4.71
2016-02-08,4.55,4.63,4.55,4.62,3400,4.62
2016-02-05,4.72,4.73,4.67,4.72,2200,4.72
2016-02-04,4.69,4.78,4.61,4.67,5500,4.67
2016-02-03,4.59,4.72,4.56,4.70,3700,4.70
2016-02-02,4.819,4.819,4.66,4.66,2100,4.66
2016-02-01,4.52,4.78,4.52,4.71,9100,4.71
2016-01-29,4.58,4.68,4.58,4.65,6400,4.65
2016-01-28,4.62,4.723,4.55,4.66,7300,4.66
2016-01-27,4.85,4.85,4.62,4.69,2100,4.69
2016-01-26,4.72,4.86,4.59,4.86,10400,4.86
2016-01-25,4.70,4.868,4.33,4.41,14200,4.41
2016-01-22,4.825,4.825,4.61,4.678,2400,4.678
2016-01-21,4.55,4.666,4.55,4.60,2100,4.60
2016-01-20,4.571,4.66,4.50,4.66,3700,4.66
2016-01-19,4.75,4.802,4.71,4.75,15000,4.75
2016-01-15,4.87,4.89,4.65,4.73,7800,4.73
2016-01-14,5.01,5.11,4.81,5.088,7400,5.088
2016-01-13,5.25,5.32,5.15,5.15,14900,5.15
2016-01-12,5.46,5.47,5.21,5.371,16700,5.371
2016-01-11,5.20,5.56,5.16,5.526,23500,5.526
2016-01-08,5.60,5.72,5.53,5.55,6500,5.55
2016-01-07,5.41,5.65,5.40,5.60,26400,5.60
2016-01-06,5.40,5.715,5.40,5.51,43400,5.51
2016-01-05,4.91,5.00,4.90,5.00,5800,5.00
2016-01-04,4.87,4.966,4.87,4.91,5200,4.91
2015-12-31,4.90,4.918,4.85,4.85,19400,4.85
2015-12-30,4.85,5.25,4.85,5.08,26500,5.08
2015-12-29,4.23,4.739,4.18,4.63,174600,4.63
2015-12-28,4.09,4.297,4.09,4.16,5300,4.16
2015-12-24,4.20,4.375,4.19,4.22,11700,4.22
2015-12-23,4.20,4.42,4.19,4.23,12600,4.23
2015-12-22,4.30,4.40,4.23,4.24,11700,4.24
2015-12-21,4.87,4.87,4.20,4.382,35300,4.382
2015-12-18,5.21,5.25,4.85,4.95,43900,4.95
2015-12-17,5.59,5.662,5.06,5.45,5400,5.45
2015-12-16,6.00,6.029,5.82,5.98,8700,5.98
2015-12-15,6.98,6.98,5.973,6.20,83500,6.20
2015-12-14,6.11,6.20,6.11,6.11,21800,6.11
2015-12-11,6.30,6.35,6.001,6.29,13400,6.29
2015-12-10,6.00,6.448,6.00,6.34,21200,6.34
2015-12-09,6.25,6.27,5.35,6.00,26100,6.00
2015-12-08,7.34,7.34,6.20,6.28,39400,6.28
2015-12-07,8.09,8.09,7.25,7.35,14600,7.35
